XXX time_point 2015, cid 17 -> FULL
XXX time_point 2020, cid 17 -> FULL
XXX time_point 2025, cid 17 -> FULL
XXX time_point 2026, cid 17 -> FULL
XXX time_point 2031, cid 17 -> FULL
XXX time_point 2032, cid 17 -> FULL
XXX time_point 2037, cid 17 -> FULL
XXX time_point 2042, cid 17 -> FULL
XXX time_point 2047, cid 17 -> FULL
XXX time_point 2052, cid 17 -> FULL
XXX time_point 2057, cid 17 -> FULL
XXX time_point 2058, cid 17 -> FULL
XXX time_point 2063, cid 17 -> FULL
XXX time_point 2068, cid 17 -> FULL
XXX time_point 2073, cid 17 -> FULL
XXX time_point 2078, cid 17 -> FULL
XXX time_point 2083, cid 17 -> FULL
XXX time_point 2088, cid 17 -> FULL
XXX time_point 2089, cid 17 -> FULL
XXX time_point 2094, cid 17 -> FULL
XXX time_point 2104, cid 17 -> FULL
XXX time_point 2109, cid 17 -> FULL
XXX time_point 2114, cid 17 -> FULL
XXX time_point 2119, cid 17 -> FULL
XXX time_point 2124, cid 17 -> FULL
XXX time_point 2129, cid 17 -> FULL
XXX time_point 2130, cid 17 -> FULL
XXX time_point 2136, cid 17 -> FULL
XXX time_point 2141, cid 17 -> FULL
XXX time_point 2142, cid 17 -> FULL
XXX time_point 2143, cid 17 -> FULL
XXX time_point 2148, cid 17 -> FULL
XXX time_point 2149, cid 17 -> FULL
XXX time_point 2154, cid 17 -> FULL
XXX time_point 2159, cid 17 -> FULL
XXX time_point 2160, cid 17 -> FULL
XXX time_point 2161, cid 17 -> FULL
XXX time_point 2166, cid 17 -> FULL
XXX time_point 2171, cid 17 -> FULL
XXX time_point 2176, cid 17 -> FULL
XXX time_point 2181, cid 17 -> FULL
XXX time_point 2186, cid 17 -> FULL
XXX time_point 2191, cid 17 -> FULL
XXX time_point 2196, cid 17 -> FULL
XXX time_point 2201, cid 17 -> FULL
XXX time_point 2211, cid 17 -> FULL
XXX time_point 2216, cid 17 -> FULL
XXX time_point 2221, cid 17 -> FULL
XXX time_point 2226, cid 17 -> FULL
XXX time_point 2231, cid 17 -> FULL
XXX time_point 2241, cid 17 -> FULL
XXX time_point 2242, cid 17 -> FULL
XXX time_point 2247, cid 17 -> FULL
XXX time_point 2248, cid 17 -> FULL
XXX time_point 2249, cid 17 -> FULL
XXX time_point 2279, cid 17 -> FULL
XXX time_point 2280, cid 17 -> FULL
XXX time_point 2310, cid 17 -> FULL
XXX time_point 2315, cid 17 -> FULL
XXX time_point 2316, cid 17 -> FULL
XXX time_point 2317, cid 17 -> FULL
XXX time_point 2322, cid 17 -> FULL
XXX time_point 2332, cid 17 -> FULL
XXX time_point 2337, cid 17 -> FULL
XXX time_point 2342, cid 17 -> FULL
XXX time_point 2347, cid 17 -> FULL
XXX time_point 2349, cid 17 -> FULL
XXX time_point 2355, cid 17 -> FULL
XXX time_point 2360, cid 17 -> FULL
XXX time_point 2365, cid 17 -> FULL
XXX time_point 2371, cid 17 -> FULL
XXX time_point 2376, cid 17 -> FULL
XXX time_point 2381, cid 17 -> FULL
XXX time_point 2382, cid 17 -> FULL
XXX time_point 2387, cid 17 -> FULL
XXX time_point 2392, cid 17 -> FULL
XXX time_point 2397, cid 17 -> FULL
XXX time_point 2402, cid 17 -> FULL
XXX time_point 2407, cid 17 -> FULL
XXX time_point 2437, cid 17 -> FULL
XXX time_point 2457, cid 17 -> FULL
XXX time_point 2462, cid 17 -> FULL
XXX time_point 2492, cid 17 -> FULL
XXX time_point 2497, cid 17 -> FULL
XXX time_point 2498, cid 17 -> FULL
XXX time_point 2503, cid 17 -> FULL
XXX time_point 2508, cid 17 -> FULL
XXX time_point 2538, cid 17 -> FULL
XXX time_point 2543, cid 17 -> FULL
XXX time_point 2548, cid 17 -> FULL
XXX time_point 2553, cid 17 -> FULL
XXX time_point 2558, cid 17 -> FULL
XXX time_point 2563, cid 17 -> FULL
XXX time_point 2564, cid 17 -> FULL
XXX time_point 2569, cid 17 -> FULL
XXX time_point 2574, cid 17 -> FULL
XXX time_point 2579, cid 17 -> FULL
